
0 (False) 동화약품(종가:19500) 245994161462 - 92292990324 > 544663665000 * 1 ?(DIV:0.62, BPS: 10772, PER: 57.18, EPS: 341, PBR: 1.8100984032677312)
1 (False) KR모터스(종가:1285) 59528044547 - 100804149114 > 117784408130 * 1 ?(DIV:0.0, BPS: 318, PER: 0.0, EPS: 0, PBR: 0.0)
2 (False) 경방(종가:11900) 254794033574 - 637965180998 > 326241713000 * 1 ?(DIV:1.05, BPS: 27050, PER: 7.3, EPS: 1630, PBR: 0.4398890942698706)
3 (False) 메리츠화재(종가:14700) 0 - 0 > 1773187500000 * 1 ?(DIV:5.78, BPS: 21397, PER: 5.46, EPS: 2693, PBR: 0.6871888582511567)
4 (False) 삼양홀딩스(종가:65600) 1469231000000 - 1739087000000 > 561816177600 * 1 ?(DIV:3.05, BPS: 160079, PER: 16.45, EPS: 3987, PBR: 0.4097111426233297)
5 (False) 삼양홀딩스우(종가:47800) 0 - 0 > 14533972400 * 1 ?(DIV:4.29, BPS: 0, PER: 0.0, EPS: 0, PBR: 0.0)
6 (False) 하이트진로(종가:32450) 1520556483582 - 2872009231516 > 2275835676950 * 1 ?(DIV:2.16, BPS: 14488, PER: 0.0, EPS: 0, PBR: 0.0)
7 (False) 하이트진로2우B(종가:20700) 0 - 0 > 23393856600 * 1 ?(DIV:0.0, BPS: 0, PER: 0.0, EPS: 0, PBR: 0.0)
8 (False) 유한양행(종가:65400) 1249314831206 - 537865296356 > 4372435374000 * 1 ?(DIV:0.61, BPS: 24221, PER: 101.55, EPS: 644, PBR: 2.700061929730399)
9 (False) 유한양행우(종가:65800) 0 - 0 > 77705852000 * 1 ?(DIV:0.62, BPS: 0, PER: 0.0, EPS: 0, PBR: 0.0)
10 (False) CJ대한통운(종가:162500) 2668270251678 - 5855504691593 > 3707005900000 * 1 ?(DIV:0.0, BPS: 131146, PER: 120.46, EPS: 1349, PBR: 1.2390811767038261)
11 (False) 하이트진로홀딩스(종가:15950) 1539283549068 - 3479015793497 > 370147901750 * 1 ?(DIV:2.19, BPS: 18398, PER: 0.0, EPS: 0, PBR: 0.0)
12 (False) 하이트진로홀딩스우(종가:15300) 0 - 0 > 7203393000 * 1 ?(DIV:2.61, BPS: 0, PER: 0.0, EPS: 0, PBR: 0.0)
13 (False) 두산(종가:54600) 12110456127435 - 23303871904484 > 902201391000 * 1 ?(DIV:9.52, BPS: 72969, PER: 2.49, EPS: 21900, PBR: 0.747317353944826)
14 (False) 두산우(종가:42950) 0 - 0 > 171648042900 * 1 ?(DIV:12.22, BPS: 0, PER: 0.0, EPS: 0, PBR: 0.0)
15 (False) 두산2우B(종가:79800) 0 - 0 > 71264432400 * 1 ?(DIV:6.52, BPS: 0, PER: 0.0, EPS: 0, PBR: 0.0)
16 (False) 성창기업지주(종가:1970) 85246601591 - 180869601053 > 137410652000 * 1 ?(DIV:0.0, BPS: 7529, PER: 0.0, EPS: 0, PBR: 0.0)
17 (False) 대림산업(종가:84200) 6128407008820 - 6810810947240 > 2930160000000 * 1 ?(DIV:1.54, BPS: 153815, PER: 4.89, EPS: 17223, PBR: 0.5475439326463609)
18 (False) 대림산업우(종가:48500) 0 - 0 > 184300000000 * 1 ?(DIV:2.78, BPS: 0, PER: 0.0, EPS: 0, PBR: 0.0)
19 (False) 유유제약(종가:14450) 69723564775 - 49021863174 > 103141397850 * 1 ?(DIV:1.45, BPS: 11570, PER: 19.11, EPS: 756, PBR: 1.2486741573033708)
20 (False) 유유제약1우(종가:13800) 0 - 0 > 15641817000 * 1 ?(DIV:1.59, BPS: 0, PER: 0.0, EPS: 0, PBR: 0.0)
21 (False) 유유제약2우B(종가:33050) 0 - 0 > 5422844000 * 1 ?(DIV:0.67, BPS: 0, PER: 0.0, EPS: 0, PBR: 0.0)
22 (False) 일동홀딩스(종가:10600) 273139875794 - 470082840452 > 122328240000 * 1 ?(DIV:0.94, BPS: 11931, PER: 0.0, EPS: 0, PBR: 0.0)
23 (False) 한국테크놀로지그룹(종가:16550) 584639818005 - 310522077822 > 1539483863150 * 1 ?(DIV:2.11, BPS: 35269, PER: 10.03, EPS: 1650, PBR: 0.4692364399330857)
24 (False) 삼천당제약(종가:58900) 176227737508 - 58246730255 > 1341037614900 * 1 ?(DIV:0.08, BPS: 7142, PER: 120.7, EPS: 488, PBR: 8.247213665639876)
25 (False) 기아차(종가:58700) 0 - 0 > 23794828468900 * 1 ?(DIV:1.96, BPS: 71487, PER: 12.88, EPS: 4556, PBR: 0.8208664512428834)
26 (False) 대유플러스(종가:835) 201178038294 - 338360036108 > 96989192870 * 1 ?(DIV:0.0, BPS: 953, PER: 5.49, EPS: 152, PBR: 0.8756348373557188)
27 (False) 노루홀딩스(종가:9650) 496475533551 - 481281343968 > 128259607150 * 1 ?(DIV:4.15, BPS: 27108, PER: 21.98, EPS: 439, PBR: 0.35595469971963994)
