
0 (False) AJ네트웍스(종가:4485) 224556778908 - 926634093219 > 209997993075 * 1 ?(DIV:None, BPS: None, PER: None, EPS: None, PBR: None)
1 (False) AK홀딩스(종가:25200) 5186353117 - 147070786062 > 333838537200 * 1 ?(DIV:None, BPS: None, PER: None, EPS: None, PBR: None)
2 (False) APS홀딩스(종가:7090) 29552529779 - 48049875957 > 144595026890 * 1 ?(DIV:None, BPS: None, PER: None, EPS: None, PBR: None)
3 (False) AP시스템(종가:24200) 260644147153 - 283479324189 > 350421493400 * 1 ?(DIV:None, BPS: None, PER: None, EPS: None, PBR: None)
4 (False) AP위성(종가:8770) 103019215259 - 36753062540 > 131679831080 * 1 ?(DIV:None, BPS: None, PER: None, EPS: None, PBR: None)
5 (False) BGF(종가:4810) 241619809765 - 40137264377 > 460397764710 * 1 ?(DIV:None, BPS: None, PER: None, EPS: None, PBR: None)
6 (False) BGF리테일(종가:140500) 889683301259 - 1736749616733 > 2428388793000 * 1 ?(DIV:None, BPS: None, PER: None, EPS: None, PBR: None)
7 (False) BYC(종가:319000) 135235432078 - 252183859184 > 199252185000 * 1 ?(DIV:None, BPS: None, PER: None, EPS: None, PBR: None)
8 (False) CJ(종가:108500) 47396566000 - 227903170000 > 3165704283000 * 1 ?(DIV:None, BPS: None, PER: None, EPS: None, PBR: None)
9 (False) CJ대한통운(종가:161500) 1293539011138 - 4085570103551 > 3684193556000 * 1 ?(DIV:None, BPS: None, PER: None, EPS: None, PBR: None)
10 (False) CJ씨푸드(종가:4740) 30222965661 - 51529916694 > 170311864020 * 1 ?(DIV:None, BPS: None, PER: None, EPS: None, PBR: None)
11 (False) CJ제일제당(종가:424000) 1902157108000 - 4827798010000 > 6382974864000 * 1 ?(DIV:None, BPS: None, PER: None, EPS: None, PBR: None)
12 (False) CJ프레시웨이(종가:20500) 535003454738 - 1084375469887 > 243367513000 * 1 ?(DIV:None, BPS: None, PER: None, EPS: None, PBR: None)
13 (False) CMG제약(종가:5380) 153840982376 - 19795673213 > 747240272720 * 1 ?(DIV:None, BPS: None, PER: None, EPS: None, PBR: None)
14 (False) CNH(종가:2650) 23575604592 - 46324770327 > 98580000000 * 1 ?(DIV:None, BPS: None, PER: None, EPS: None, PBR: None)
15 (False) CS(종가:2285) 22708894618 - 7052566301 > 43038317750 * 1 ?(DIV:None, BPS: None, PER: None, EPS: None, PBR: None)
16 (False) CS홀딩스(종가:58100) 38623027209 - 7753477580 > 67075404200 * 1 ?(DIV:None, BPS: None, PER: None, EPS: None, PBR: None)
17 (False) DB(종가:821) 64138578187 - 131629031376 > 165163798993 * 1 ?(DIV:None, BPS: None, PER: None, EPS: None, PBR: None)
18 (False) DB하이텍(종가:63500) 446033820393 - 374232514079 > 2819310338000 * 1 ?(DIV:None, BPS: None, PER: None, EPS: None, PBR: None)
19 (False) DMS(종가:8510) 214942572851 - 181145759662 > 209116749110 * 1 ?(DIV:None, BPS: None, PER: None, EPS: None, PBR: None)
20 (False) DRB동일(종가:7170) 106451139113 - 112476106039 > 142898100000 * 1 ?(DIV:None, BPS: None, PER: None, EPS: None, PBR: None)
21 (False) DSR(종가:5570) 100968203741 - 49778031460 > 89120000000 * 1 ?(DIV:None, BPS: None, PER: None, EPS: None, PBR: None)
22 (False) DSR제강(종가:5150) 89530232010 - 60775823592 > 74160000000 * 1 ?(DIV:None, BPS: None, PER: None, EPS: None, PBR: None)
23 (False) E1(종가:41500) 1030509872618 - 1666994367007 > 284690000000 * 1 ?(DIV:None, BPS: None, PER: None, EPS: None, PBR: None)
24 (False) EDGC(종가:8440) 45250747553 - 38571324483 > 362198641640 * 1 ?(DIV:None, BPS: None, PER: None, EPS: None, PBR: None)
25 (False) EG(종가:10200) 23171985846 - 42844820667 > 76500000000 * 1 ?(DIV:None, BPS: None, PER: None, EPS: None, PBR: None)
26 (False) EMW(종가:2780) 18979550386 - 16614866741 > 88360067660 * 1 ?(DIV:None, BPS: None, PER: None, EPS: None, PBR: None)
27 (False) F&F(종가:97500) 380905398683 - 147278226990 > 1501500000000 * 1 ?(DIV:None, BPS: None, PER: None, EPS: None, PBR: None)
28 (False) GH신소재(종가:6780) 25589012875 - 41110679377 > 74580000000 * 1 ?(DIV:None, BPS: None, PER: None, EPS: None, PBR: None)
29 (False) GKL(종가:15950) 408370216670 - 251563185980 > 986597936500 * 1 ?(DIV:None, BPS: None, PER: None, EPS: None, PBR: None)
30 (False) GRT(종가:951) 1655037394 - 338954430 > 64073625000 * 1 ?(DIV:None, BPS: None, PER: None, EPS: None, PBR: None)
31 (False) GS(종가:38300) 118646000000 - 849165000000 > 3558658977400 * 1 ?(DIV:None, BPS: None, PER: None, EPS: None, PBR: None)
32 (False) GST(종가:16650) 77891071558 - 21799664505 > 155140454250 * 1 ?(DIV:None, BPS: None, PER: None, EPS: None, PBR: None)
33 (False) GS건설(종가:43100) 6030556633886 - 7414552120912 > 3463960490300 * 1 ?(DIV:None, BPS: None, PER: None, EPS: None, PBR: None)
34 (False) GS글로벌(종가:2170) 441831956060 - 415914374838 > 179098267880 * 1 ?(DIV:None, BPS: None, PER: None, EPS: None, PBR: None)
35 (False) GS리테일(종가:34850) 1366640462978 - 3817181642719 > 2683450000000 * 1 ?(DIV:None, BPS: None, PER: None, EPS: None, PBR: None)
36 (False) GS홈쇼핑(종가:139900) 721937336692 - 319987307481 > 918093750000 * 1 ?(DIV:None, BPS: None, PER: None, EPS: None, PBR: None)
37 (False) GV(종가:521) 50663680914 - 62261115160 > 39110090392 * 1 ?(DIV:None, BPS: None, PER: None, EPS: None, PBR: None)
38 (False) HB테크놀러지(종가:2210) 125102733575 - 52943628438 > 174568841460 * 1 ?(DIV:None, BPS: None, PER: None, EPS: None, PBR: None)
39 (False) HDC(종가:10950) 137758159201 - 174124035252 > 654171844950 * 1 ?(DIV:None, BPS: None, PER: None, EPS: None, PBR: None)
40 (False) HDC아이콘트롤스(종가:10900) 192982674756 - 63805496234 > 179414000000 * 1 ?(DIV:None, BPS: None, PER: None, EPS: None, PBR: None)
41 (False) HDC현대EP(종가:6650) 230613231291 - 169691551380 > 212135000000 * 1 ?(DIV:None, BPS: None, PER: None, EPS: None, PBR: None)
42 (False) HDC현대산업개발(종가:28100) 4997348832968 - 3316943525500 > 1851995973000 * 1 ?(DIV:None, BPS: None, PER: None, EPS: None, PBR: None)
43 (False) HMM(종가:14050) 1775084000000 - 7149963000000 > 4590504838150 * 1 ?(DIV:None, BPS: None, PER: None, EPS: None, PBR: None)
44 (False) HRS(종가:4900) 46224391059 - 10422126007 > 80138520000 * 1 ?(DIV:None, BPS: None, PER: None, EPS: None, PBR: None)
45 (False) HSD엔진(종가:7750) 329377281973 - 573254642858 > 255340350500 * 1 ?(DIV:None, BPS: None, PER: None, EPS: None, PBR: None)
46 (False) ISC(종가:26450) 92410944523 - 57924866528 > 374069336600 * 1 ?(DIV:None, BPS: None, PER: None, EPS: None, PBR: None)
47 (False) ITX-AI(종가:2225) 24030267363 - 8079698805 > 65196244675 * 1 ?(DIV:None, BPS: None, PER: None, EPS: None, PBR: None)
48 (False) JW생명과학(종가:21550) 76824533763 - 80944314773 > 341234638700 * 1 ?(DIV:None, BPS: None, PER: None, EPS: None, PBR: None)
49 (False) JW신약(종가:5330) 39460299510 - 43702226651 > 222085994780 * 1 ?(DIV:None, BPS: None, PER: None, EPS: None, PBR: None)
50 (False) JW중외제약(종가:33100) 311937482246 - 341603460488 > 692453787400 * 1 ?(DIV:None, BPS: None, PER: None, EPS: None, PBR: None)
51 (False) JW홀딩스(종가:5420) 53578202956 - 243041368788 > 360170680100 * 1 ?(DIV:None, BPS: None, PER: None, EPS: None, PBR: None)
